Iterations,NB Score,SGD Score,Tree Score,,NB Average Score,SGD Average Fitness Score,Tree Average Fitness Score
0,0.345505618,0.45505618,0.345505618,,0.392207311,0.525459171,0.38854708
1,0.362359551,0.494382022,0.362359551,,,,
2,0.426966292,0.54494382,0.438202247,,,,
3,0.390449438,0.508426966,0.387640449,,,,
4,0.407303371,0.556179775,0.418539326,,,,
5,0.384831461,0.508426966,0.373595506,,,,
6,0.370786517,0.494382022,0.365168539,,,,
7,0.365168539,0.494382022,0.356741573,,,,
8,0.398876404,0.54494382,0.396067416,,,,
9,0.390449438,0.480337079,0.373595506,,,,
10,0.373595506,0.547752809,0.348314607,,,,
11,0.424157303,0.570224719,0.412921348,,,,
12,0.416901408,0.521126761,0.402816901,,,,
13,0.369014085,0.515492958,0.388732394,,,,
14,0.422535211,0.554929577,0.442253521,,,,
15,0.354929577,0.490140845,0.34084507,,,,
16,0.38028169,0.588732394,0.391549296,,,,
17,0.442253521,0.535211268,0.414084507,,,,
18,0.394366197,0.554929577,0.397183099,,,,
19,0.411267606,0.523943662,0.405633803,,,,
20,0.408450704,0.538028169,0.422535211,,,,
21,0.433802817,0.54084507,0.414084507,,,,
22,0.377464789,0.515492958,0.363380282,,,,
23,0.394366197,0.518309859,0.38028169,,,,
24,0.374647887,0.504225352,0.391549296,,,,
25,0.422535211,0.566197183,0.4,,,,
26,0.385915493,0.512676056,0.385915493,,,,
27,0.377464789,0.532394366,0.374647887,,,,
28,0.405633803,0.535211268,0.383098592,,,,
29,0.422535211,0.518309859,0.394366197,,,,
30,0.405633803,0.546478873,0.408450704,,,,
31,0.411267606,0.543661972,0.394366197,,,,
32,0.374647887,0.501408451,0.38028169,,,,
33,0.374647887,0.518309859,0.394366197,,,,
34,0.41971831,0.535211268,0.416901408,,,,
35,0.383098592,0.521126761,0.394366197,,,,
36,0.408450704,0.546478873,0.405633803,,,,
37,0.357746479,0.484507042,0.369014085,,,,
38,0.394366197,0.535211268,0.402816901,,,,
39,0.338028169,0.501408451,0.357746479,,,,
40,0.416901408,0.563380282,0.402816901,,,,
41,0.4,0.523943662,0.377464789,,,,
42,0.394366197,0.532394366,0.405633803,,,,
43,0.388732394,0.498591549,0.383098592,,,,
44,0.408450704,0.535211268,0.416901408,,,,
45,0.422535211,0.549295775,0.408450704,,,,
46,0.366197183,0.523943662,0.371830986,,,,
47,0.377464789,0.512676056,0.414084507,,,,
48,0.45915493,0.538028169,0.428169014,,,,
49,0.371830986,0.501408451,0.357746479,,,,
50,0.371830986,0.512676056,0.385915493,,,,
51,0.38028169,0.523943662,0.402816901,,,,
52,0.388732394,0.535211268,0.383098592,,,,
53,0.402816901,0.54084507,0.408450704,,,,
54,0.385915493,0.498591549,0.352112676,,,,
55,0.383098592,0.583098592,0.408450704,,,,
56,0.405633803,0.518309859,0.385915493,,,,
57,0.405633803,0.54084507,0.394366197,,,,
58,0.405633803,0.521126761,0.388732394,,,,
59,0.411267606,0.512676056,0.394366197,,,,
60,0.38028169,0.523943662,0.397183099,,,,
61,0.374647887,0.492957746,0.36056338,,,,
62,0.391549296,0.492957746,0.383098592,,,,
63,0.408450704,0.543661972,0.411267606,,,,
64,0.366197183,0.526760563,0.354929577,,,,
65,0.394366197,0.521126761,0.414084507,,,,
66,0.433802817,0.532394366,0.416901408,,,,
67,0.397183099,0.515492958,0.377464789,,,,
68,0.414084507,0.538028169,0.397183099,,,,
69,0.408450704,0.54084507,0.4,,,,
70,0.422535211,0.577464789,0.425352113,,,,
71,0.405633803,0.577464789,0.433802817,,,,
72,0.397183099,0.529577465,0.388732394,,,,
73,0.416901408,0.526760563,0.422535211,,,,
74,0.371830986,0.512676056,0.385915493,,,,
75,0.377464789,0.529577465,0.36056338,,,,
76,0.391549296,0.523943662,0.371830986,,,,
77,0.394366197,0.515492958,0.385915493,,,,
78,0.391549296,0.538028169,0.383098592,,,,
79,0.377464789,0.535211268,0.357746479,,,,
80,0.391549296,0.495774648,0.366197183,,,,
81,0.436619718,0.56056338,0.414084507,,,,
82,0.338028169,0.504225352,0.335211268,,,,
83,0.377464789,0.518309859,0.402816901,,,,
84,0.357746479,0.45915493,0.36056338,,,,
85,0.363380282,0.529577465,0.371830986,,,,
86,0.349295775,0.518309859,0.354929577,,,,
87,0.422535211,0.577464789,0.433802817,,,,
88,0.411267606,0.532394366,0.397183099,,,,
89,0.369014085,0.495774648,0.363380282,,,,
90,0.416901408,0.521126761,0.391549296,,,,
91,0.385915493,0.543661972,0.391549296,,,,
92,0.383098592,0.518309859,0.369014085,,,,
93,0.369014085,0.504225352,0.352112676,,,,
94,0.363380282,0.518309859,0.357746479,,,,
95,0.34084507,0.433802817,0.332394366,,,,
96,0.346478873,0.504225352,0.36056338,,,,
97,0.411267606,0.549295775,0.41971831,,,,
98,0.408450704,0.54084507,0.377464789,,,,
99,0.414084507,0.56056338,0.408450704,,,,
