Name,Twitter ID,Party
USRepGaryPalmer,2861616083,Republican
RepPerlmutter,20552026,Democrat
Team_Mitch,365530059,Republican
WhipClyburn,188019606,Democrat
RepScottPeters,1135486501,Democrat
RepMcEachin,816181091673448448,Democrat
RepRosendale,1344751420139040783,Republican
RepJayapal,815733290955112448,Democrat
RepStephenLynch,310310133,Democrat
SenThadCochran,555474658,Republican
JeffFlake,16056306,Republican
USRepRHinojosa,239905257,Democrat
GKButterfield,432676344,Democrat
senrobportman,18915145,Republican
BillCassidy,55677432,Republican
BurrForSenate,213339899,Republican
HSGAC,1249418526,Democrat
VP,803694179079458816,Democrat
VoteMarsha,63150856,Republican
CoryGardner,20879626,Republican
RepHartzler,237763317,Republican
RepDanCrenshaw,1080894931311431682,Republican
RepSheaPorter,126171100,Democrat
jahimes,31611298,Democrat
WydenPress,292495654,Democrat
SpeakerPelosi,15764644,Democrat
NydiaVelazquez,164369297,Democrat
RepMoolenaar,2696643955,Republican
AustinScottGA08,234797704,Republican
marcorubio,15745368,Republican
RepBice,1344260196227555334,Republican
SenateRPC,114896223,Republican
SenGaryPeters,236511574,Democrat
SenTomCotton,968650362,Republican
CongressmanHice,2975091705,Republican
RepRaulGrijalva,28602948,Democrat
JudiciaryDems,818513652814843906,Democrat
RepRonEstes,854715071116849157,Republican
RepSchrader,20545793,Democrat
RepGrothman,2976606250,Republican
KamalaHarris,30354991,Democrat
RepDeSaulnier,2968007206,Democrat
jeffsessions,986781648,Republican
SenatorRisch,1096059529,Republican
RepBobbyRush,305216911,Democrat
SenFeinstein,476256944,Democrat
RepEBJ,168502762,Democrat
ossoff,521747968,Democrat
GrassleyPress,294126378,Republican
RepGregMurphy,1173978070535024642,Republican
RepDelBene,995193054,Democrat
SenatorBennet,224285242,Democrat
mikecapuano,75785294,Democrat
RepJackBergman,815241612154417152,Republican
ThomTillis,22195441,Republican
RepWilson,234014087,Democrat
repjohnlewis,29450962,Democrat
RepKatCammack,1344325638983987201,Republican
DorisMatsui,38254095,Democrat
RepDanKildee,1045110018,Democrat
DrRandPaul,39834947,Republican
DeanHeller,41363507,Republican
crapoforsenate,413160266,Republican
MarkWarner,7429102,Democrat
SenJohnThune,296361085,Republican
MarshaBlackburn,278145569,Republican
RepChrisStewart,1072008757,Republican
GerryConnolly,78445977,Democrat
RepBentz,1345788865911656454,Republican
RepLBR,817050219007328258,Democrat
StaceyPlaskett,2724095695,Democrat
RepZoeLofgren,267938462,Democrat
RepFranklin,1343664721384398849,Republican
RepFeenstra,1345135363761852416,Republican
DesJarlaisTN04,235312723,Republican
RepMeuser,1080574793630527505,Republican
SenJohnMcCain,19394188,Republican
keithellison,14135426,Democrat
RepBethVanDuyne,1339633259349745670,Republican
RepCheri,1092979962,Democrat
RepRaskin,806906355214852096,Democrat
RepEspaillat,817076257770835968,Democrat
RepTimBurchett,1028854804087492613,Republican
RepJohnCurtis,931614483050414080,Republican
RepNancyMace,1343597700542038017,Republican
McConnellPress,339822881,Republican
RobWittman,15356407,Republican
RepHastingsFL,2433737761,Democrat
RepKathleenRice,2970462034,Democrat
repdavidscott,168673083,Democrat
SenWarren,970207298,Democrat
RonWyden,250188760,Democrat
RepLizCheney,816719802328715264,Republican
RandPaul,216881337,Republican
PeteSessions,24735461,Republican
CoryBooker,15808765,Democrat
RepStefanik,2962813893,Republican
timkaine,172858784,Democrat
gracenapolitano,161411080,Democrat
RepYvetteClarke,240812994,Democrat
RepBeatty,1531521632,Democrat
RepFilemonVela,1083448909,Democrat
brianschatz,47747074,Democrat
LeaderMcConnell,1249982359,Republican
SenStabenow,76456274,Democrat
senorrinhatch,262756641,Republican
joekennedy,1055907624,Democrat
RepMaryMiller,1343656635907125250,Republican
RepGraceMeng,1051127714,Democrat
pedropierluisi,34972633,Democrat
RepWalberg,237862972,Republican
RepDerekKilmer,1058917562,Democrat
EPWCmte,245891006,Democrat
RepHuizenga,233949261,Republican
WarrenDavidson,742735530287304704,Republican
SenJackyRosen,818554054309715969,Democrat
RepGusBilirakis,26051676,Republican
JohnCarneyDE,237770636,Democrat
RepArrington,816284664658874368,Republican
MartinHeinrich,1099199839,Democrat
robportman,2612307559,Republican
SenCortezMasto,811313565760163844,Democrat
RepBost,2964877294,Republican
RepGregoryMeeks,22812754,Democrat
RepVeasey,1074129612,Democrat
SenatorLeahy,242836537,Democrat
RepSteveStivers,211420609,Republican
Perduesenate,1397501864,Republican
sethmoulton,248495200,Democrat
RepJeffries,467823431,Democrat
repsandylevin,25781141,Democrat
JoaquinCastrotx,231510077,Democrat
RepJimBanks,816131319033950208,Republican
SenRonJohnson,233737858,Republican
SteveScalise,1209417007,Republican
Boozman4AR,111671288,Republican
SenAlexPadilla,1351236267707654145,Democrat
RepLipinski,1009269193,Democrat
USRepMikeDoyle,39249305,Democrat
gillibrandny,899978622416695297,Democrat
RepBlaine,1849261916,Republican
repcleaver,163570705,Democrat
RepJerryNadler,40302336,Democrat
repkevinhern,1067818539179024386,Republican
JudgeCarter,18030431,Republican
RepDLesko,996094929733652481,Republican
sendavidperdue,2863210809,Republican
BobBradyPHL,148453195,Democrat
RepSmucker,41417564,Republican
RepCarbajal,816157667882373120,Democrat
USRepKeating,232992031,Democrat
RepBonamici,558769636,Democrat
RepJudyChu,193732179,Democrat
RepAnnaEshoo,249348006,Democrat
janschakowsky,24195214,Democrat
SenBrianSchatz,1262099252,Democrat
SenTinaSmith,941000686275387392,Democrat
LeaderHoyer,22012091,Democrat
JamesComer,838462994,Republican
RepDavid,229197216,Republican
RepKinzinger,219429281,Republican
RepDaveJoyce,976969338,Republican
SenateCommerce,386092483,Republican
RepPeterDeFazio,252249233,Democrat
amyklobuchar,33537967,Democrat
SenMarkey,21406834,Democrat
SenDeanHeller,266133081,Republican
SenJohnBarrasso,202206694,Republican
SenMarkKelly,1324926274888888320,Democrat
JimInhofe,7270292,Republican
SenDuckworth,1058520120,Democrat
repdonyoung,37007274,Republican
SenGillibrand,72198806,Democrat
RepHankJohnson,24745957,Democrat
SenatorHassan,946549322,Democrat
RepMattGaetz,818948638890217473,Republican
ReverendWarnock,1221242033530195970,Democrat
RepDavidValadao,1128514404,Republican
RepCloudTX,1039879658400112640,Republican
BobbyScott,161791703,Democrat
GOPHELP,292972175,Republican
SenateSmallBiz,2654291262,Democrat
RepWaltzPress,1082416697380913152,Republican
RepFischbach,1344375287484723205,Republican
joniernst,1383059977,Republican
RepLeeZeldin,2750127259,Republican
LtGovDennyHeck,1068499286,Democrat
RepLujanGrisham,1061385474,Democrat
SenateFinance,628709039,Democrat
RepBarragan,816833925456789505,Democrat
ChrisVanHollen,18137749,Democrat
RepBurgessOwens,1344481217685692416,Republican
RepBoebert,1342989756611907584,Republican
SenJohnHoeven,382791093,Republican
RepDavidKustoff,816012124505931780,Republican
PattyMurray,293131808,Democrat
RepGarbarino,1344349650447433729,Republican
RepDwightEvans,90639372,Democrat
RepPfluger,1341120751399809026,Republican
CongMikeSimpson,76132891,Republican
TXRandy14,1058051748,Republican
RepDevinNunes,344972339,Republican
MarioDB,37094727,Republican
HawleyMO,2352629311,Republican
RepLaTurner,1345850704800468993,Republican
RepHagedorn,1083474782602125318,Republican
RepHalRogers,550401754,Republican
SenatorTester,515822213,Democrat
RepJohnRose,1081312310059253763,Republican
RonJohnsonWI,142332083,Republican
RepThompson,303861808,Democrat
RepKihuen,816282029276938240,Democrat
JohnCornyn,13218102,Republican
RepJohnJoyce,1082311988926124036,Republican
RepChipRoy,1082790600292925440,Republican
RepGallagher,815966620300480514,Republican
SenateAgDems,233696188,Democrat
DonaldNorcross,3122099613,Democrat
SenatorDurbin,247334603,Democrat
RepBradWenstrup,518644221,Republican
RogerWicker,11650762,Republican
RepFrenchHill,2953974395,Republican
RepKClark,2293131060,Democrat
SenateApprops,352534407,Democrat
SenatorShaheen,109287731,Democrat
RepAlexMooney,2964526557,Republican
RepTedDeutch,137794015,Democrat
AGBecerra,133832049,Democrat
RepGutierrez,36948268,Democrat
RepMalliotakis,1344750588026900481,Republican
RepDustyJohnson,1074782372594413569,Republican
RepMikeRogersAL,33977070,Republican
RepMarkTakai,2975350155,Democrat
RepLoisCapps,292990703,Democrat
RepKarenBass,239949176,Democrat
EleanorNorton,23600262,Democrat
ChrisMurphyCT,150078976,Democrat
RepFredUpton,124224165,Republican
RepBradAshford,2964351843,Democrat
RepAndyBarr,1089334250,Republican
RepWebster,281540744,Republican
BillPascrell,74508260,Democrat
RepLarryBucshon,234812598,Republican
RepKayGranger,161743731,Republican
RepBetoORourke,1134292500,Democrat
RepMcNerney,385429543,Democrat
SenJohnKennedy,816683274076614656,Republican
tedcruz,23022687,Republican
RepStephMurphy,796183515998068736,Democrat
InhofePress,20546536,Republican
RepDavidEPrice,155669457,Democrat
replouiegohmert,22055226,Republican
SenSusanCollins,13529632,Republican
CongressmanRaja,814179031956488192,Democrat
SenCoonsOffice,435500714,Democrat
JeffFortenberry,18805303,Republican
RepRickCrawford,233693291,Republican
cathymcmorris,17976923,Republican
BettyMcCollum04,516880804,Democrat
OrrinHatch,18170310,Republican
RepClayHiggins,843636970538618880,Republican
RepTrentKelly,3317799825,Republican
PatrickMcHenry,27676828,Republican
daveloebsack,510516465,Democrat
SenCapito,193794406,Republican
RepMaxineWaters,36686040,Democrat
AnthonyBrownMD4,1378000346,Democrat
barrassoforwyo,499268312,Republican
RepAnnieKuster,1058717720,Democrat
RepHanabusa,235373000,Democrat
RepAdrianSmith,296245061,Republican
SanfordBishop,249410485,Democrat
SenSchumer,17494010,Democrat
RepDebDingell,2970279814,Democrat
SenatorTomUdall,60828944,Democrat
SenDanSullivan,2891210047,Republican
MarshaSays,1266034103633264641,Republican
RepAGonzalez,1054381765224210432,Republican
BennieGThompson,82453460,Democrat
RepScottPerry,18773159,Republican
RepGwenMoore,22669526,Democrat
RepLisaMcClain,1344032292432437248,Republican
RepRichardNeal,442824717,Democrat
RepDavidRouzer,834069080,Republican
congbillposey,25086658,Republican
RepRonKind,112740986,Democrat
RepDianaDeGette,28599820,Democrat
RepBrendanBoyle,231108733,Democrat
RepEliotEngel,164007407,Democrat
NitaLowey,221792092,Democrat
tomudall,14140370,Democrat
SenBobCasey,171598736,Democrat
RepRWilliams,1077446982,Republican
RepMcGovern,242426145,Democrat
BenSasse,1480852568,Republican
RepMullin,1060370282,Republican
RepSchneider,1071840474,Democrat
RepBonnie,2968451607,Democrat
JohnnyIsakson,253252536,Republican
RepMikeTurner,51228911,Republican
JECDems,116505994,Democrat
RepMeijer,1334164871420796928,Republican
RepDLamborn,584012853,Republican
TomCottonAR,343041182,Republican
RepMikeGarcia,1262531473057423361,Republican
RepTimWalz,1262814457,Democrat
RepMann,1345825008887721986,Republican
RepTomRice,1058345042,Republican
RepBillJohnson,211530910,Republican
boblatta,15394954,Republican
JoeCrowleyNY,111635980,Democrat
SenSanders,29442313,Democrat
RepBarryMoore,1339006078688825344,Republican
EnergyDems,277124730,Democrat
SenatorEnzi,291756142,Republican
RepMikeJohnson,827279765287559171,Republican
RepTenney,797201048490430465,Republican
RepCohen,162069635,Democrat
MarkKirk,18943852,Republican
SenRubioPress,229966028,Republican
RepAlGreen,156333623,Democrat
SenateBanking,104324860,Democrat
